country,country_population,id,province,confirmed,deaths,recovered,latitude,longitude,deaths/population (%),confirmed/population (%),deaths/confirmed (%)
Trinidad and Tobago,1328019.0,211,,113,8,0,10.6918,-61.2225,0.0006024010198649266,0.008508914405592089,7.079646017699115
Tunisia,10589025.0,212,,726,34,0,34.0,9.0,0.0003210871633601772,0.006856155311749665,4.683195592286501
Turkey,77804122.0,213,,61049,1296,0,38.9637,35.2433,0.0016657215153716408,0.07846499443821242,2.122884895739488
Uganda,33398682.0,214,,54,0,0,1.0,32.0,0.0,0.00016168302689309715,0.0
Ukraine,45415596.0,215,,3102,93,0,48.3794,31.1656,0.00020477546964263113,0.006830252761628406,2.998065764023211
United Arab Emirates,4975593.0,216,,4521,25,0,24.0,54.0,0.0005024526724754215,0.09086354129045524,0.5529750055297501
United Kingdom,62348447.0,217,Bermuda,57,5,0,32.3078,-64.7505,8.019445937442514e-06,9.142168368684468e-05,8.771929824561402
United Kingdom,62348447.0,218,Cayman Islands,53,1,0,19.3133,-81.2546,1.6038891874885032e-06,8.500612693689066e-05,1.8867924528301887
United Kingdom,62348447.0,219,Channel Islands,436,9,0,49.3723,-2.3644,1.4435002687396529e-05,0.0006992956857449874,2.064220183486239
United Kingdom,62348447.0,220,Gibraltar,129,0,0,36.1408,-5.3536,0.0,0.0002069017051860169,0.0
United Kingdom,62348447.0,221,Isle of Man,242,2,0,54.2361,-4.5481,3.2077783749770065e-06,0.00038814118337221774,0.8264462809917356
United Kingdom,62348447.0,222,Montserrat,11,0,0,16.7425,-62.1874,0.0,1.7642781062373532e-05,0.0
United Kingdom,62348447.0,223,,88621,11329,0,55.3781,-3.4360000000000004,0.018170460605057254,0.14213826368441865,12.7836517304025
Uruguay,3477000.0,224,,480,8,0,-32.5228,-55.7658,0.00023008340523439746,0.013805004314063849,1.6666666666666667
US,310232863.0,225,,580619,23529,0,37.0902,-95.7129,0.007584302891857075,0.18715586556025177,4.052399249766197
Uzbekistan,27865738.0,226,,998,4,0,41.3775,64.5853,1.4354545356021074e-05,0.0035814590663272583,0.4008016032064128
Venezuela,27223228.0,227,,189,9,0,6.4238,-66.5897,3.306000302388828e-05,0.0006942600635016538,4.761904761904762
Vietnam,89571130.0,228,,265,0,0,16.0,108.0,0.0,0.00029585425571833243,0.0
Zambia,13460305.0,229,,45,2,0,-15.4167,28.2833,1.4858504320667325e-05,0.0003343163472150148,4.444444444444445
Zimbabwe,13061000.0,230,,17,3,0,-20.0,30.0,2.2969144782175943e-05,0.000130158487098997,17.647058823529413
Canada,33679000.0,231,Diamond Princess,-1,-1,0,0.0,0.0,-2.969209299563526e-06,-2.969209299563526e-06,100.0
Dominica,72813.0,232,,16,0,0,15.415,-61.371,0.0,0.021974098031944847,0.0
Grenada,107818.0,233,,14,0,0,12.1165,-61.678999999999995,0.0,0.012984844831104268,0.0
